iter	Passed	Remaining
736	2990	1067
737	2994	1063
738	2998	1059
739	3002	1054
740	3006	1050
741	3010	1046
742	3014	1042
743	3018	1038
744	3022	1034
745	3026	1030
746	3030	1026
747	3034	1022
748	3038	1018
749	3042	1014
750	3047	1010
751	3051	1006
752	3054	1002
753	3059	998
754	3063	994
755	3067	990
756	3071	985
757	3075	981
758	3079	977
759	3083	973
760	3087	969
761	3091	965
762	3095	961
763	3099	957
764	3103	953
765	3107	949
766	3112	945
767	3115	941
768	3119	937
769	3123	933
770	3127	928
771	3131	924
772	3135	920
773	3139	916
774	3143	912
775	3147	908
776	3151	904
777	3155	900
778	3160	896
779	3165	892
780	3169	888
781	3173	884
782	3177	880
783	3182	876
784	3186	872
785	3190	868
786	3194	864
787	3198	860
788	3202	856
789	3207	852
790	3211	848
791	3216	844
792	3219	840
793	3223	836
794	3228	832
795	3232	828
796	3236	824
797	3240	820
798	3245	816
799	3249	812
800	3253	808
801	3257	804
802	3262	800
803	3266	796
804	3270	792
805	3274	788
806	3278	784
807	3282	780
808	3286	775
809	3290	771
810	3295	767
811	3299	763
812	3303	759
813	3307	755
814	3312	751
815	3316	747
816	3320	743
817	3325	739
818	3329	735
819	3333	731
820	3337	727
821	3342	723
822	3346	719
823	3350	715
824	3354	711
825	3358	707
826	3362	703
827	3366	699
828	3371	695
829	3375	691
830	3380	687
831	3384	683
832	3388	679
833	3392	675
834	3396	671
835	3400	667
836	3404	663
837	3409	659
838	3413	654
839	3417	650
840	3421	646
841	3426	642
842	3431	639
843	3435	635
844	3439	630
845	3444	626
846	3448	622
847	3452	618
848	3456	614
849	3460	610
850	3464	606
851	3468	602
852	3473	598
853	3477	594
854	3481	590
855	3485	586
856	3489	582
857	3493	578
858	3498	574
859	3502	570
860	3506	566
861	3510	561
862	3514	557
863	3518	553
864	3522	549
865	3527	545
866	3531	541
867	3534	537
868	3539	533
869	3543	529
870	3547	525
871	3551	521
872	3555	517
873	3559	513
874	3563	509
875	3567	505
876	3571	500
877	3575	496
878	3579	492
879	3583	488
880	3587	484
881	3592	480
882	3596	476
883	3600	472
884	3604	468
885	3609	464
886	3613	460
887	3617	456
888	3621	452
889	3625	448
890	3629	444
891	3633	439
892	3637	435
893	3641	431
894	3645	427
895	3649	423
896	3653	419
897	3657	415
898	3662	411
899	3666	407
900	3670	403
901	3674	399
902	3678	395
903	3682	391
904	3686	387
905	3690	382
906	3694	378
907	3699	374
908	3702	370
909	3707	366
910	3710	362
911	3715	358
912	3719	354
913	3723	350
914	3727	346
915	3731	342
916	3735	338
917	3739	334
918	3743	329
919	3746	325
920	3751	321
921	3755	317
922	3759	313
923	3763	309
924	3767	305
925	3772	301
926	3776	297
927	3780	293
928	3785	289
929	3789	285
930	3793	281
931	3797	277
932	3801	272
933	3805	268
934	3809	264
935	3813	260
936	3818	256
937	3822	252
938	3826	248
939	3830	244
940	3834	240
941	3838	236
942	3842	232
943	3846	228
944	3850	224
945	3853	219
946	3857	215
947	3861	211
948	3865	207
949	3869	203
950	3873	199
951	3877	195
952	3881	191
953	3885	187
954	3889	183
955	3893	179
956	3897	175
957	3901	171
958	3905	166
959	3909	162
960	3913	158
961	3917	154
962	3921	150
963	3925	146
964	3929	142
965	3933	138
966	3936	134
967	3940	130
968	3944	126
969	3948	122
970	3952	118
971	3956	113
972	3960	109
973	3964	105
974	3968	101
975	3972	97
976	3977	93
977	3981	89
978	3984	85
979	3988	81
980	3992	77
981	3996	73
982	4000	69
983	4005	65
984	4009	61
985	4013	56
986	4017	52
987	4022	48
988	4026	44
989	4031	40
990	4035	36
991	4039	32
992	4043	28
993	4047	24
994	4051	20
995	4055	16
996	4059	12
997	4063	8
998	4067	4
999	4071	0
